province,lon,lat,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
上海市,121.4737,31.2304,31.0430064,38.28201886,57.57679473,40.80318503,50.95414561,42.71631277,49.16452645,56.65898214,50.44467477,58.01754294,47.38385575,51.42290192,48.4294068,46.10716211,48.04302324,49.78926524,40.38919782,38.23667003,35.03029996
江苏省,118.7918,32.0415,39.59007577,47.2127448,58.01155522,50.47628066,51.72454555,50.90536017,52.70172975,60.01579086,56.4709315,65.28872591,61.06886785,65.81044203,55.2824059,58.39814766,61.11213447,57.72291089,49.39110996,48.68122594,46.21740314
安徽省,117.283,31.8612,50.68932634,52.83786539,57.63040234,55.05724464,55.3626947,55.29510451,55.56895212,65.06684921,57.90474488,64.49799125,67.0040868,66.62779827,58.72154471,62.52158217,63.89748876,55.03787989,49.00735116,52.19384933,46.86833757
江西省,115.8921,28.6835,36.57834481,39.17220009,42.66112608,42.65833287,45.06219284,42.82761156,45.64413211,48.28354517,43.21373841,45.58507439,47.86745572,47.82533021,46.9167697,42.52554839,42.92697881,35.60316504,34.95731233,36.18724782,29.64862003
湖北省,114.3124,30.5843,53.22966628,53.05894553,53.40014874,50.11425806,51.56692032,55.98891673,55.58842236,61.01860139,57.50772629,62.77246954,67.94923195,69.52062608,56.00030148,61.94439814,57.15533482,51.65361346,45.36708242,44.17028051,38.88848076
湖南省,112.9826,28.1941,52.50930774,47.11416711,47.64710217,45.46851328,48.94123422,52.40269844,53.25026052,55.71063425,56.639198,53.31309689,57.44977328,59.57974594,58.20355156,50.61499958,52.02600576,43.81825091,39.94299483,37.25738186,33.39289904
重庆市,106.504,29.5333,62.87665417,48.58204246,47.84948698,43.72872635,46.52744218,48.3345375,54.41006058,49.39444568,52.00084184,50.43642094,57.90249569,57.17961034,54.69591273,45.97311948,41.60694485,36.30052664,35.93238945,30.48229671,26.87060822
四川省,104.0665,30.5723,102.8713224,54.90454978,56.6375244,52.61905804,55.14030867,58.5430478,63.88824594,53.45276807,54.62503033,55.60751417,69.73887718,64.07177364,61.72876721,58.14618973,49.35372222,40.27815232,39.64064967,36.10275319,32.45926137
云南省,102.7123,25.0463,23.58236808,22.45442978,20.545039,14.33281785,14.53986016,16.89658859,17.90259122,18.87024912,16.43872216,20.39276782,20.4678571,26.5715957,24.6131865,21.29105401,20.29912267,18.48760288,19.05142854,16.17839451,16.35319786
西藏省,91.1136,29.6603,5.246386203,3.548070447,3.443241067,5.081491652,5.501691565,5.408732425,4.6646053,5.790930727,6.166520211,3.918815907,4.150410077,3.966267578,4.938228617,3.545514796,4.622632055,4.19567334,5.011159186,3.382029929,3.484204074
青海省,101.7789,36.6232,45.34915588,28.59577281,23.24537364,19.27076299,20.35238843,22.77792174,21.77336736,25.10802252,25.89221306,28.5382934,34.61688261,33.17331502,27.98480564,32.34880251,28.88542076,19.79658421,20.74176154,19.34886795,17.92944639
